accession,strain,gene,genotype
CY128719,A/American_black_duck/New_Brunswick/02493/2007(H7N3),PA,none
CY130075,A/duck/Memphis/546/1974(H11N9),PA,none
CY130401,A/northern_pintail/Interior_Alaska/10BM02549R0/2010(mixed),PA,none
CY130458,A/mallard/Interior_Alaska/10BM02980R0/2010(H9N2),PA,none
CY130490,A/gull/Southeastern_Alaska/10JR01527R0/2010(H16N3),PA,none
CY130506,A/glaucous_winged_gull/Southeastern_Alaska/10JR01681R0/2010(H16N3),PA,none
CY132033,A/mallard/Ohio/11OS2201/2011(mixed),PA,none
CY132058,A/mallard/Ohio/11OS2237/2011(mixed),PA,none
CY132178,A/mallard/Ohio/11OS2044/2011(H10N7),PA,none
CY132186,A/mallard/Ohio/11OS2213/2011(H11N2),PA,none
CY132234,A/mallard/Ohio/11OS2078/2011(H1N1),PA,none
CY132327,A/mallard/Ohio/11OS2049/2011(H3N6),PA,none
CY132450,A/mallard/Ohio/11OS2216/2011(H5N1),PA,none
CY132686,A/blue_winged_teal/Illinois/10OS3610/2010(H6N2),PA,none
CY132694,A/mallard/Wisconsin/10OS1604/2010(H5N2),PA,none
CY132776,A/mallard/Wisconsin/10OS3868/2010(mixed),PA,none
CY132817,A/northern_shoveler/Arkansas/11OS333/2011(mixed),PA,none
CY132847,A/mallard/Illinois/10OS3243/2010(mixed),PA,none
CY132882,A/northern_pintail/Illinois/10OS3959/2010(H7N3),PA,none
CY132890,A/mallard/Illinois/10OS4334/2010(H10N7),PA,none
CY132978,A/American_green_winged_teal/Illinois/10OS3329/2010(H7N7),PA,none
CY132986,A/gadwall/Illinois/10OS3342/2010(H6N1),PA,none
CY133214,A/mallard/Wisconsin/10OS2917/2010(H4N6),PA,none
CY133247,A/mallard/Wisconsin/10OS3051/2010(H4N2),PA,none
CY133295,A/mallard/Mississippi/10OS4593/2010(H1N2),PA,none
CY133303,A/mallard/Mississippi/10OS4494/2010(H1N1),PA,none
CY133311,A/northern_shoveler/Mississippi/10OS4526/2010(H6N2),PA,none
CY133445,A/mallard/Iowa/10OS2692/2010(H4N2),PA,none
CY133461,A/American_wigeon/Iowa/10OS2748/2010(H2N2),PA,none
CY133486,A/northern_shoveler/Illinois/10OS4360/2010(mixed),PA,none
CY133865,A/American_wigeon/Missouri/10MO0530/2010(mixed),PA,none
CY133906,A/northern_shoveler/California/2810/2011(H11N2),PA,none
CY133970,A/mallard/California/2532V/2011(H4N6),PA,none
CY134284,A/mallard/California/2595P/2011(H12N5),PA,none
CY134340,A/bufflehead/California/3118/2011(H4N8),PA,none
CY134348,A/green_winged_teal/California/96/2012(H1N1),PA,none
CY134364,A/northern_shoveler/California/138/2012(H1N1),PA,none
CY135540,A/American_green_winged_teal/Interior_Alaska/9BM5045R0/2009(H8N4),PA,none
CY135896,A/mallard/Interior_Alaska/10BM06454R0/2010(H4N6),PA,none
CY136375,A/red_knot/New_Jersey/327/1989_mixed_(mixed),PA,none
CY136393,A/mallard/Alberta/670/1986(mixed),PA,none
CY136401,A/ruddy_turnstone/New_Jersey/154/1990_mixed_(mixed),PA,none
CY136521,A/mallard/Alberta/104/2004(mixed),PA,none
CY136635,A/laughing_gull/Delaware_Bay/2839/1987(H16N3),PA,none
CY136954,A/mallard/Alberta/267/1996(mixed),PA,none
CY136970,A/mallard/Alberta/71/1998(H10N7),PA,none
CY137479,A/mallard/Alberta/151/2002(H1N1),PA,none
CY137535,A/mallard/Alberta/130/2003(H1N1),PA,none
CY137639,A/canvasback/Alberta/276/2005(H1N1),PA,none
CY137919,A/shorebird/Delaware_Bay/351/2009(H1N9),PA,none
CY138012,A/blue_winged_teal/Nova_Scotia/00296/2010(mixed),PA,none
CY138094,A/American_black_duck/New_Brunswick/00989/2010(mixed),PA,none
CY138158,A/snow_goose/Nunavet/03438/2010(H3N8),PA,none
CY138301,A/blue_winged_teal/New_Brunswick/00283/2010(H3N8),PA,none
CY138349,A/blue_winged_teal/New_Brunswick/00595/2010(H3N7),PA,none
CY138493,A/blue_winged_teal/Nova_Scotia/01002/2010(H3N8),PA,none
CY138847,A/American_black_duck/New_Brunswick/00410/2010(H1N1),PA,none
CY139324,A/mallard/New_Brunswick/00854/2010(H4N6),PA,none
CY139382,A/mallard_black_duck_hybrid/New_Brunswick/00904/2010(H10N7),PA,none
CY139446,A/American_black_duck/New_Brunswick/00951/2010(mixed),PA,none
CY139654,A/northern_pintail/Texas/421716/2001(H1N1),PA,none
CY139662,A/mallard/Minnesota/199106/1999(H3N8),PA,none
CY139686,A/mallard/Minnesota/355788/2000(H12N5),PA,none
CY139750,A/mallard/Minnesota/182722/1998(H11N9),PA,none
CY139793,A/mallard/Minnesota/182729/1998(H6N5),PA,none
CY139826,A/mallard/Minnesota/346245/2000(H11N9),PA,none
CY139866,A/mallard/Minnesota/346229/2000(H11N9),PA,none
CY140117,A/blue_winged_teal/North_Dakota/Sg_00706/2008(H4N6),PA,none
CY140480,A/mallard/Minnesota/Sg_00931/2008(H4N6),PA,none
CY140514,A/mallard/Minnesota/Sg_01002/2008(mixed),PA,none
CY140750,A/mallard/Minnesota/AI09_2749/2009_mixed_(mixed),PA,none
CY140809,A/mallard/Minnesota/AI09_3228/2009(H3N1),PA,none
CY140825,A/mallard/Minnesota/AI09_3302/2009(H11N9),PA,none
CY140900,A/mallard/Minnesota/AI09_3821/2009(H4N6),PA,none
CY141086,A/red_necked_grebe/Minnesota/AI10_1948/2010(H1N1),PA,none
CY141148,A/mallard/Minnesota/AI10_2762/2010(H11N9),PA,none
CY141157,A/mallard/Minnesota/182717/1998_mixed_(mixed),PA,none
CY141380,A/northern_shoveler/Interior_Alaska/9BM12350R0/2009(H8N4),PA,none
CY141483,A/mallard/Interior_Alaska/10BM10831R0/2010(mixed),PA,none
CY142086,A/mallard/Interior_Alaska/9BM7218R0/2009(H10N7),PA,none
CY143449,A/American_green_winged_teal/Interior_Alaska/9BM12714R1/2009(H3N8),PA,none
CY144183,A/herring_gull/New_York/AI00_532/2000(H16N3),PA,none
CY144207,A/ring_billed_gull/Georgia/AI00_2658/2000(H13N6),PA,none
CY144215,A/semi_palmated_sandpiper/Delaware/AI00_2327/2000(H11N2),PA,none
CY144479,A/ruddy_turnstone/Delaware/AI03_123/2003(mixed),PA,none
CY144536,A/ruddy_turnstone/Delaware/AI03_118/2003(H12N5),PA,none
CY144664,A/bufflehead/North_Carolina/NC6412_125/2005(H4N8),PA,none
CY144672,A/ruddy_turnstone/New_Jersey/AI06_582/2006(H6N7),PA,none
CY145652,A/ruddy_turnstone/Delaware/Sg_00540/2008(H12N4),PA,none
CY149361,A/great_black_backed_gull/Iceland/1113/2011(H4N8),PA,none
CY149369,A/Iceland_gull/Iceland/1124/2011(H2N5),PA,none
CY149449,A/greylag_goose/Iceland/1459/2011(H6N5),PA,none
CY149625,A/thick_billed_murre/Canada/1813/2011(H12N5),PA,none
CY149649,A/ruddy_turnstone/Canada/02937/2011(H3N5),PA,none
CY157043,A/lesser_scaup/California/3087/2010(unknown),PA,none
CY157051,A/mallard/California/2743/2012(H3N8),PA,none
CY157331,A/mallard/California/3135/2012(H2N7),PA,none
CY157491,A/mallard/California/3471/2012(H4N6),PA,none
CY157515,A/green_winged_teal/California/6588/2009(H9N2),PA,none
CY157531,A/northern_pintail/California/3100/2011(H9N2),PA,none
CY157539,A/mallard/California/3370/2012(H9N2),PA,none
CY157916,A/swine/Texas/01308/2006(H1N2),PA,none
CY158198,A/swine/North_Carolina/02249/2008(H1N2),PA,none
CY158486,A/swine/Arkansas/SG1377/2011(H1N2),PA,none
CY158822,A/swine/North_Carolina/00116/2003(H3N2),PA,none
CY158830,A/swine/Missouri/SG1182/2003(H1N1),PA,none
CY158846,A/swine/North_Carolina/SG1202/2004(H1N1),PA,none
CY159190,A/swine/North_Carolina/SG1462/2004(H3N2),PA,none
CY159350,A/swine/North_Carolina/01506/2006(H3N2),PA,none
CY159766,A/swine/Texas/00525/2005(H1N1),PA,none
CY159774,A/swine/Alabama/SG1224/2005(H3N2),PA,none
CY160265,A/swine/North_Carolina/00950/2006(H3N2),PA,none
CY164161,A/mallard/Sweden/52405/2006(mixed),PA,none
CY164213,A/mallard/Sweden/146/2002(H4N6),PA,none
CY164229,A/mallard/Sweden/310/2002(H4N6),PA,none
CY164421,A/mallard/Sweden/4508/2004(H4N6),PA,none
CY164469,A/mallard/Sweden/5734/2005(H4N6),PA,none
CY166111,A/mallard/Wisconsin/11OS4085/2011(mixed),PA,none
CY166122,A/American_green_winged_teal/Wisconsin/11OS3069/2011(mixed),PA,none
CY166141,A/mallard/Missouri/11OS4852/2011(mixed),PA,none
CY166199,A/american_green_winged_teal/Wisconsin/11OS3551/2011(H6N2),PA,none
CY166215,A/mallard/Wisconsin/11OS3577/2011(H6N5),PA,none
CY166327,A/American_green_winged_teal/Wisconsin/11OS3053/2011(H6N1),PA,none
CY166482,A/blue_winged_teal/Wisconsin/11OS2657/2011(H4N6),PA,none
CY166733,A/mallard/Wisconsin/11OS4383/2011(H3N8),PA,none
CY166781,A/northern_shoveler/Mississippi/11OS5875/2011(H5N2),PA,none
CY166797,A/American_widgeon/Mississippi/11OS6073/2011(H6N2),PA,none
CY166936,A/mallard/Missouri/11OS6301/2011(H6N2),PA,none
CY167256,A/northern_pintail/Mississippi/12OS420/2012(mixed),PA,none
CY172596,A/New_York/1056/2007(H1N1),PA,none
CY177034,A/northern_shoveler/California/3769/2012(H6N2),PA,none
CY177042,A/mallard/California/3937/2012(H1N1),PA,none
CY177446,A/California_gull/California/1196P/2013(H16N3),PA,none
CY177461,A/duck/Wisconsin/2366/1985(N4),PA,none
CY177485,A/mallard/Wisconsin/1132/1982(H7N3),PA,none
CY177492,A/pintail/Wisconsin/157/1976(N8),PA,none
CY177499,A/blue_winged_teal/Wisconsin/15/1977(H6N8),PA,none
CY177507,A/widgeon/Alabama/1278/1975(H11N2),PA,none
CY177514,A/mallard/Wisconsin/36/1975(H6),PA,none
CY177524,A/mallard/Wisconsin/685/1976(mixed),PA,none
CY177561,A/duck/Minnesota/7/1975(H6N2),PA,none
CY177579,A/duck/Minnesota/36/1975(H3N2),PA,none
CY177607,A/blue_winged_teal/Wisconsin/2/1974(mixed),PA,none
CY177618,A/widgeon/Wisconsin/278/1978(mixed),PA,none
CY177627,A/green_winged_teal/Wisconsin/20/1974(H6N8),PA,none
CY177675,A/mallard/Wisconsin/1077/1982(H11N9),PA,none
CY177715,A/mallard/Wisconsin/2256/1984(H11N9),PA,none
CY177763,A/duck/Wisconsin/2697/1985(H12N5),PA,none
CY177843,A/mallard/Wisconsin/865/1982(H3N8),PA,none
CY177923,A/mallard/Wisconsin/1729/1983(H3N6),PA,none
CY178059,A/mallard/Wisconsin/2322/1984(H4N6),PA,none
CY178107,A/mallard/Wisconsin/598/1983(H5N2),PA,none
CY178251,A/mallard/Wisconsin/647/1983(H2N1),PA,none
CY178283,A/mallard/Wisconsin/53/1981(H10N7),PA,none
CY178331,A/mallard/Wisconsin/261/1980(H11N9),PA,none
CY178387,A/blue_winged_teal/Wisconsin/109/1980(H3N2),PA,none
CY178395,A/mallard/Wisconsin/260/1980(H3N2),PA,none
CY178516,A/duck/Wisconsin/2409/1985(H2N3),PA,none
CY178548,A/blue_winged_teal/Saskatchewan/75/1982(H3N8),PA,none
CY178556,A/mallard/Saskatchewan/117/1982(H4N6),PA,none
CY178596,A/blue_winged_teal/Wisconsin/330/1984(H4N6),PA,none
CY178636,A/widgeon/Wisconsin/140/1980(H6N1),PA,none
CY178668,A/blue_winged_teal/Wisconsin/331/1981(H3N2),PA,none
CY178828,A/mallard/Wisconsin/586/1983(H1N1),PA,none
CY178844,A/pintail/Wisconsin/381/1983(H6N2),PA,none
CY178868,A/mallard/Wisconsin/2080/1984(H8N4),PA,none
CY178916,A/duck/Wisconsin/3034/1986(H7N7),PA,none
CY178974,A/mallard/Wisconsin/81/1976(mixed),PA,none
CY178999,A/blue_winged_teal/Wisconsin/336/1976(H1N1),PA,none
CY179008,A/mallard/Wisconsin/299/1976(mixed),PA,none
CY179240,A/mallard/Wisconsin/1350/1983(H10N7),PA,none
CY179288,A/mallard/Wisconsin/1636/1983(H3N8),PA,none
CY179368,A/mallard/Wisconsin/298/1977(H11N9),PA,none
CY179544,A/mallard/Wisconsin/85/1977(H3N8),PA,none
CY179552,A/mallard/Wisconsin/162/1977(H3N2),PA,none
CY179720,A/mallard/Wisconsin/18/1977(H3N6),PA,none
CY179760,A/blue_winged_teal/Wisconsin/278/1975(H4N6),PA,none
CY179864,A/gadwall/Wisconsin/13/1975(H12N5),PA,none
CY180064,A/mallard/Wisconsin/789/1976(H11N9),PA,none
CY180088,A/mallard/Wisconsin/538/1979(H11N9),PA,none
CY180120,A/mallard/Wisconsin/34/1976(H3N8),PA,none
CY180144,A/green_winged_teal/Wisconsin/228/1976(H9N2),PA,none
CY180313,A/mallard/Wisconsin/603/1983(H3N8),PA,none
CY180393,A/mallard/Wisconsin/232/1976(H5N2),PA,none
CY180409,A/blue_winged_teal/Wisconsin/340/1976(H6N1),PA,none
CY180465,A/duck/Minnesota/104/1974(H4N6),PA,none
CY180577,A/green_winged_teal/Wisconsin/432/1976(H6N2),PA,none
CY180609,A/mallard/Wisconsin/590/1979(H1N2),PA,none
CY180649,A/mallard/Wisconsin/223/1979(H7N3),PA,none
CY180713,A/green_winged_teal/Wisconsin/562/1979(H9N1),PA,none
CY180721,A/mallard/Wisconsin/633/1979(H11N9),PA,none
CY180729,A/duck/Minnesota/53/1974(H3N8),PA,none
CY181050,A/mallard/Wisconsin/22/1974(H3N5),PA,none
CY181058,A/mallard/Saskatchewan/1/1982(H3N8),PA,none
CY181074,A/widgeon/Saskatchewan/10/1982(H3N8),PA,none
CY181090,A/mallard/Saskatchewan/14/1982(H3N8),PA,none
CY181114,A/widgeon/Wisconsin/88/1978(H6N8),PA,none
CY181140,A/pintail/Wisconsin/284/1978(mixed),PA,none
CY181190,A/pintail/Wisconsin/122/1978(H3N2),PA,none
CY181246,A/mallard/Wisconsin/14/1974(H4N6),PA,none
CY181310,A/mallard/Wisconsin/145/1978(H4N2),PA,none
CY181390,A/mallard/Wisconsin/214/1977(H12N2),PA,none
CY183422,A/mallard/Sweden/7206/2004(H7N7),PA,none
CY183430,A/mallard/Sweden/60041/2007(H8N2),PA,none
CY183462,A/mallard/Sweden/3244/2003(H8N4),PA,none
CY183470,A/mallard/Sweden/4486/2004(H8N4),PA,none
CY183504,A/mallard/Sweden/7996/2005(H8N4),PA,none
CY183593,A/mallard/Sweden/737/2002(H10N2),PA,none
CY183650,A/mallard/Sweden/3151/2003(H10N7),PA,none
CY184012,A/mallard/Sweden/366/2002(H11N9),PA,none
CY184154,A/mallard/Sweden/67860/2007(H9N2),PA,none
CY184178,A/mallard/Sweden/99668/2009(H9N2),PA,none
CY184210,A/mallard/Sweden/101574/2009(H11N9),PA,none
CY184394,A/mallard/Sweden/79416/2008(H11N9),PA,none
CY184444,A/mallard/Sweden/69912/2007(H11N9),PA,none
CY185322,A/black_headed_gull/Republic_of_Georgia/5/2011(H9N3),PA,none
CY185718,A/mallard/Alberta/49/1976(H7N3),PA,none
CY185750,A/mallard/Alberta/93/1996(H7N3),PA,none
CY185810,A/mallard/Alberta/590/2010(H7N8),PA,none
CY185834,A/ruddy_turnstone/New_Jersey/65/1985(H7N3),PA,none
CY185926,A/mallard/Minnesota/AI07_3433/2007(H7N3),PA,none
CY185950,A/blue_winged_teal/Louisiana/AI11_2911/2011(H7N3),PA,none
CY186401,A/mallard/Sweden/80329/2008(H11N5),PA,none
CY186504,A/mallard/Ohio/12OS1418/2012(mixed),PA,none
CY186546,A/blue_winged_teal/Ohio/12OS2099/2012(H11),PA,none
CY186569,A/mallard/Ohio/12OS3170/2012(N6),PA,none
CY186589,A/gadwall/Ohio/12OS5640/2012(H5N2),PA,none
CY186688,A/northern_shoveler/Illinois/12OS5128/2012(H2N5),PA,none
CY186729,A/northern_shoveler/Illinois/12OS5294/2012(H10N3),PA,none
CY186745,A/blue_winged_teal/Illinois/12OS2951/2012(H11N3),PA,none
CY186835,A/blue_winged_teal/Ohio/12OS2106/2012(H4N6),PA,none
CY186932,A/blue_winged_teal/Ohio/12OS2293/2012(H4N6),PA,none
CY186956,A/blue_winged_teal/Ohio/12OS3128/2012(H4N6),PA,none
CY186964,A/northern_shoveler/Ohio/12OS3173/2012(H12N5),PA,none
CY186994,A/northern_shoveler/Ohio/12OS5647/2012(H2N3),PA,none
CY187100,A/blue_winged_teal/Wisconsin/12OS4304/2012(H4N8),PA,none
CY190032,A/American_green_winged_teal/Maryland/06MD700/2006(H6N8),PA,none
CY190056,A/mallard/Maryland/08OS1349/2008(H1N1),PA,none
CY190592,A/American_black_duck/Maryland/07OS2482/2007(H6N8),PA,none
CY190600,A/mallard/Maryland/07OS55/2007(H10N7),PA,none
CY190720,A/mallard/Maryland/08OS3083/2008(H10N7),PA,none
CY191000,A/mallard/Maryland/11OS3701/2011(H6N1),PA,none
CY191008,A/mallard/Maryland/11OS3818/2012(H10N7),PA,none
CY191304,A/mallard/Maryland/13OS3036/2014(H1N1),PA,none
CY194178,A/mallard/Southcentral_Alaska/12ML00986_AAF1/2014(H3N8),PA,none
CY194850,A/swine/Manitoba/D0274/2013(H1N1),PA,none
CY195083,A/swine/Alberta/SD0014/2013(H1N1),PA,none
CY195596,A/swine/Manitoba/D0361/2014(H1N2),PA,none
CY195634,A/glaucous_winged_gull/Southcentral_Alaska/11JR02182/2011(mixed),PA,none
CY195926,A/gull/Massachusetts/14WP00096/2014(H4N4),PA,none
CY196223,A/American_green_winged_teal/Interior_Alaska/11BM03657/2011(H3N8),PA,none
CY196689,A/goose/Interior_Alaska/11PG00148/2011(H6N1),PA,none
CY196809,A/glaucous_winged_gull/Southcentral_Alaska/12NH01647/2008(H16N3),PA,none
CY202641,A/mallard/Maryland/08OS1392/2008(H6N2),PA,none
CY202713,A/mallard/Ohio/14OS0571/2014(mixed),PA,none
CY202757,A/mallard/Maryland/10OS0582/2010(H10N7),PA,none
CY202855,A/mallard/Maryland/10OS116/2010(H11N9),PA,none
CY203322,A/mallard/Maryland/10OS1918/2010(H6N1),PA,none
CY203714,A/mallard/Maryland/06OS1236/2006(H11N9),PA,none
CY203730,A/mallard/Maryland/07OS864/2007(H5N8),PA,none
CY203866,A/mallard/Maryland/09OS1083/2009(H12N5),PA,none
CY203907,A/mallard/Maryland/09OS1127/2009(mixed),PA,none
CY204037,A/green_winged_teal/Ohio/14OS2001/2014(H6N2),PA,none
CY204061,A/green_winged_teal/Ohio/14OS1103/2014(H6N9),PA,none
CY205460,A/blue_winged_teal/Texas/AI12_3640/2012(mixed),PA,none
CY206265,A/mallard/Minnesota/AI12_4031/2012(H5N2),PA,none
CY206698,A/mallard/Southcentral_Alaska/12ML00957/2014(H1N1),PA,none
CY206770,A/mallard/Southcentral_Alaska/12ML01015/2014(H9N2),PA,none
CY207042,A/yellow_billed_pintail/Chile/6/2013(H4N6),PA,none
CY207226,A/yellow_billed_pintail/Chile/10/2014(H7N3),PA,none
CY209159,A/Hawaii/89/2016(H3N2),PA,none
CY213609,A/least_sandpiper/Southcentral_Alaska/16MB01323/2016(H5N2),PA,none
CY235253,A/mallard/Idaho/UGAI16_1941/2016(mixed),PA,none
CY241517,A/ruddy_turnstone/New_Jersey/UGAI16_1522/2016(H10N1),PA,none
CY243773,A/Minnesota/35/2017(H1N1),PA,none
CY245317,A/Michigan/285/2017(H3N2),PA,none
CY245742,A/swine/Manitoba/SD0085/2015(H3N2),PA,none
CY246062,A/swine/Manitoba/D0437/2016(H1N2),PA,none
CY246248,A/swine/Manitoba/D0418/2016(H3N2),PA,none
CY246264,A/swine/Manitoba/SD0168/2016(H3N2),PA,none
CY246601,A/swine/Manitoba/D0464/2016(H3N2),PA,none
CY246760,A/swine/Alberta/SD0208/2016(H3N2),PA,none
EF597418,A/wild_duck/Shantou/19988/2000(H4N9),PA,none
EU182321,A/chicken/NY/13237_6/98(H6N8),PA,none
EU408333,A/chicken/Rostov_on_Don/35/2007(H5N1),PA,none
EU636683,A/turkey/England/N28/73(H5N2),PA,none
EU743076,A/turkey/MN/40550/1987(H5N2),PA,none
EU743140,A/emu/NY/12716/1994(H5N9),PA,none
EU743156,A/turkey/IA/10271_3/1990(H1N1),PA,none
EU743207,A/guinea_fowl/NJ/8848_18/1998(H3N2),PA,none
EU743462,A/mallard/MN/42/2000(H11N9),PA,none
EU743565,A/pintail/MN/479/1999(H3N6),PA,none
EU871833,A/duck/LA/17G/1987(H3N8),PA,none
EU871841,A/green_winged_teal/LA/9GW/1987(H11N9),PA,none
EU880825,A/turkey/CA/358533/2005(H4N8),PA,none
EU980499,A/mallard/MD/898/2002(H5N2),PA,none
FJ517286,A/mallard/Minnesota/190/1999(H3N8),PA,none
FJ517324,A/guinea_fowl/NJ/14190_23/1996(H4N8),PA,none
FJ610061,A/chicken/Guanajuato/28159_331/1995(H5N2),PA,none
FJ610085,A/chicken/Chiapas/28159_488/1995(H5N2),PA,none
FJ610099,A/chicken/Puebla/14587_644/1994(H5N2),PA,none
FJ610131,A/chicken/MA/11801/1986(H5N2),PA,none
FJ686703,A/mallard/Maryland/301/2003(H2N3),PA,none
FJ686743,A/mallard/Maryland/897/2004(H5N2),PA,none
FJ686751,A/mallard/Maryland/226/2001(H2N3),PA,none
GQ162791,A/duck/Primorie/2621/2001(H5N2),PA,none
GQ227554,A/duck/Altai/1285/1991(H5N3),PA,none
GQ227607,A/duck/Primorie/2633/2001(H5N3),PA,none
GQ257460,A/mallard/Maryland/190/2001(H10N7),PA,none
GQ923138,A/Guinea_fowl/Oregon/459674_5/2006(H5N2),PA,none
GQ923162,A/mallard/Oregon/461067_2/2006(H5N2),PA,none
GQ923226,A/mallard/Indiana/465297_2/2006(H5N2),PA,none
GQ923258,A/avian/Missouri/466554_6/2006(H5N2),PA,none
GQ923266,A/snow_goose/Montana/466771_4/2006(H5N2),PA,none
GQ923378,A/waterfowl/Colorado/476466_2/2007(H5N2),PA,none
GQ923458,A/mallard/Nevada/450206_4/2006(H5N2),PA,none
GQ923498,A/waterfowl/Colorado/457952_2/2006(H5N2),PA,none
GQ923506,A/green_winged_teal/Delaware/458672_5/2006(H5N2),PA,none
GQ923546,A/duck/Ohio/470655/2007(H5N2),PA,none
GQ923578,A/avian/Colorado/456648/2006(H5N8),PA,none
GU049909,A/avian/New_York/448534/2006(H5N2),PA,none
GU050035,A/mallard/Wisconsin/464979/2006(H5N2),PA,none
GU050042,A/northern_pintail/California/466371/2006(H5N2),PA,none
GU050056,A/Northern_shoveler/Utah/466781/2006(H5N2),PA,none
GU050087,A/Northern_shoveler/Mississippi/469987_3/2006(H5N2),PA,none
GU050148,A/gadwall/California/490899/2007(H5N2),PA,none
GU050164,A/yellow_headed_Amazon/California/500658/2007(H5N2),PA,none
GU050239,A/mallard/NV/453350_8/2006(H5N2),PA,none
GU050269,A/wild_bird/Wisconsin/439436_2/2006(H5N2),PA,none
GU050284,A/avian/Saudi_Arabia/910134/2006(H9N2),PA,none
GU050292,A/avian/Saudi_Arabia/910135/2006(H9N2),PA,none
GU050386,A/chicken/Nam_Dinh/07_32/2007(H5N1),PA,none
GU050644,A/pintail/Minnesota/431/1999(H6N2),PA,none
GU051204,A/mallard/Minnesota/182/1998(H3N9),PA,none
GU051215,A/mallard/Minnesota/14/2000(H4N3),PA,none
GU051270,A/mallard/Minnesota/210/1999(H4N8),PA,none
GU051285,A/mallard/Minnesota/271/1999(H4N8),PA,none
GU051294,A/mallard/Minnesota/263/1999(H4N9),PA,none
GU051405,A/northern_pintail/Texas/282/2002(H6N1),PA,none
GU051423,A/mallard/Minnesota/253/1999(H6N5),PA,none
GU051447,A/mallard/Minnesota/63/1998(H6N8),PA,none
GU051457,A/mallard/Minnesota/175/1999(H6N8),PA,none
GU051462,A/mallard/Minnesota/204/1999(H6N8),PA,none
GU051906,A/duck/New_Jersey/5406_27/1994(H4N8),PA,none
GU051921,A/chicken/New_Jersey/15906_9/1996(H11N1),PA,none
GU051931,A/gull/Massachusetts/26/1980(H13N6),PA,none
GU051940,A/duck/New_York/224222_1/2002(H?N2),PA,none
GU051991,A/glaucous_gull/Wisconsin/486108_4/2007(H5N9),PA,none
GU052024,A/goose/Hong_Kong/437_6/1999(H5N1),PA,none
GU052110,A/goose/Viet_Nam/113/2001(H5N1),PA,none
GU052155,A/chicken/Indonesia/8/2003(H5N1),PA,none
GU052280,A/turkey/England/1969(H3N2),PA,none
GU052393,A/duck/Alberta/286/1978(H4N8),PA,none
GU052454,A/magpie/Korea/Y:S_M1/2004(H5N1),PA,none
GU052483,A/duck/Hong_Kong/140/1998(H5N1),PA,none
GU052507,A/duck/Hai_Phong_/208/2006(H5N1),PA,none
GU052569,A/mallard/Sweden/7/2002(H5N2),PA,none
GU052593,A/chicken/Mexico/37821_771/1996(H5N2),PA,none
GU052601,A/chicken/Chiapas/15406/1997(H5N2),PA,none
GU052633,A/chicken/Guatemala/45511_1/2000(H5N2),PA,none
GU052648,A/chicken/Texas/298313_2/2004(H5N2),PA,none
GU052679,A/chicken/Puebla/28159_474/1995(H5N2),PA,none
GU052695,A/chicken/Mexico/28159_541/1995(H5N2),PA,none
GU052729,A/chicken/Tabasco/234_8289/1998(H5N2),PA,none
GU052752,A/chicken/Pennsylvania/10210/1986(H5N2),PA,none
GU052806,A/duck/Singapore/F119/3/1997(H5N3),PA,none
GU052919,A/pintail/Alberta/21/1979(H7),PA,none
GU052927,A/Pekin_robin/California/30412/1994(H7N1),PA,none
GU052959,A/ostrich/South_Africa/1991(H7N1),PA,none
GU053077,A/chicken/Queensland/1995(H7N3),PA,none
GU053084,A/chicken/Victoria/9306_04_0930/1992(H7N3),PA,none
GU053091,A/chicken/NSW/1688/1997(H7N4),PA,none
GU053206,A/chicken/Middle_East/ED_1/1999(H9N2),PA,none
GU053300,A/mallard/Maryland/718/2004(H8N4),PA,none
GU053343,A/mallard/Maryland/210/2003(H10N7),PA,none
GU053437,A/blue_winged_teal/Ohio/455/2001(H12N5),PA,none
GU053456,A/mallard/Ohio/684/2002(H4N6),PA,none
GU186479,A/Northern_shoveler/NC/6412_052/2005(H7N6),PA,none
GU186506,A/turkey/VA/31409/1991(H10N7),PA,none
GU186514,A/turkey/VA/505477_18/2007(H5N1),PA,none
GU186528,A/mute_swan/MI/451072_2/2006(H5N1),PA,none
GU186548,A/chicken/Mexico/15407/1997(H5N2),PA,none
GU186599,A/softbill/CA/33445_158/1992(H7N1),PA,none
GU186661,A/duck/Viet_Nam/NCVDCDC9/2005(H5N1),PA,none
GU186721,A/chicken/Lang_Son/200/2005(H5N1),PA,none
GU186790,A/wild_duck/Ohio/623/2004(H5N1),PA,none
JX080920,A/emperor_goose/Alaska/44297_269/2007(H2N2),PA,none
KC209498,A/wild_bird/Korea/8G39/2005(H9N2),PA,none
KF986861,A/quail/California/D113023808/2012(H4N2),PA,none
KU289839,A/American_green_winged_teal/Utah/A00461135/2009(H7N1),PA,none
KU290076,A/mallard/Nebraska/A00709657/2009(H7N3),PA,none
KX004468,A/Utah/18/2015(H1N1),PA,none
KX005105,A/Michigan/57/2015(H1N1),PA,none
KX415759,A/Wisconsin/37/2016(H3N2),PA,none
KX620056,A/white_rumped_sandpiper/Lagoa_do_Peixe/RS1169/2012(H6N1),PA,none
KX620125,A/white_rumped_sandpiper/Lagoa_do_Peixe/RS1167/2012(H6N1),PA,none
KX918115,A/California/101/2016(H3N2),PA,none
KY551386,A/mallard/Utah/AH0066981/2016(H7N3),PA,none
KY561094,A/green_winged_teal/Missouri/15OS5246/2015(H11N9),PA,none
KY561168,A/American_green_winged_teal/Mississippi/15OS7984/2015(H3N8),PA,none
